"filename", "language", "Markdown", "JSON", "HTML", "XML", "JavaScript", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\ducpq\OneDrive\Documents\Code\KaraokeApp\karaoke_frontend\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\ducpq\OneDrive\Documents\Code\KaraokeApp\karaoke_frontend\package-lock.json", "JSON", 0, 18643, 0, 0, 0, 0, 0, 0, 1, 18644
"c:\Users\ducpq\OneDrive\Documents\Code\KaraokeApp\karaoke_frontend\package.json", "JSON", 0, 56, 0, 0, 0, 0, 0, 0, 1, 57
"c:\Users\ducpq\OneDrive\Documents\Code\KaraokeApp\karaoke_frontend\public\index.html", "HTML", 0, 0, 20, 0, 0, 0, 0, 23, 1, 44
"c:\Users\ducpq\OneDrive\Documents\Code\KaraokeApp\karaoke_frontend\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\ducpq\OneDrive\Documents\Code\KaraokeApp\karaoke_frontend\src\App.css", "CSS", 0, 0, 0, 0, 0, 33, 0, 0, 6, 39
"c:\Users\ducpq\OneDrive\Documents\Code\KaraokeApp\karaoke_frontend\src\App.js", "JavaScript", 0, 0, 0, 0, 104, 0, 0, 1, 4, 109
"c:\Users\ducpq\OneDrive\Documents\Code\KaraokeApp\karaoke_frontend\src\App.test.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\ducpq\OneDrive\Documents\Code\KaraokeApp\karaoke_frontend\src\axiosInstance.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 1, 3, 30
"c:\Users\ducpq\OneDrive\Documents\Code\KaraokeApp\karaoke_frontend\src\components\CoverPostManager\CoverPostManager.js", "JavaScript", 0, 0, 0, 0, 618, 0, 0, 13, 56, 687
"c:\Users\ducpq\OneDrive\Documents\Code\KaraokeApp\karaoke_frontend\src\components\CoverPostManager\CoverPostManager.scss", "SCSS", 0, 0, 0, 0, 0, 0, 753, 9, 135, 897
"c:\Users\ducpq\OneDrive\Documents\Code\KaraokeApp\karaoke_frontend\src\components\FeedbackManagement\FeedbackList.js", "JavaScript", 0, 0, 0, 0, 513, 0, 0, 0, 46, 559
"c:\Users\ducpq\OneDrive\Documents\Code\KaraokeApp\karaoke_frontend\src\components\FeedbackManagement\FeedbackManagement.scss", "SCSS", 0, 0, 0, 0, 0, 0, 768, 10, 150, 928
